x,y
7.1327233,1.4331932
22.095337,-0.120865345
0.49945563,2.7046888
18.579746,2.321129
7.311923,-7.395769
21.091068,0.23369421
15.547043,0.9556638
15.038657,-10.826777
13.5241375,1.237068
11.865428,-2.844906
10.217939,2.5134304
20.115644,-0.735664
16.269878,-9.618361
3.703109,-3.886695
12.204035,-1.409007
19.716032,0.0065815146
20.824186,-6.2682796
22.494717,-1.5074402
1.5683721,-1.5371468
-9.403491,2.7459798
-11.095815,4.737986
-0.16118902,-1.0498664
-13.035683,2.0110288
0.5945552,-2.0839005
-8.605479,4.005807
-7.664242,1.3025373
-5.394653,1.1262195
-8.836552,0.18064022
-8.860536,-2.7023625
-7.744498,12.795418
-11.094287,-1.6481034
-10.884023,0.67296016
-8.023705,1.3581336
-8.315895,4.920553
-2.5746624,-0.10486369
-3.2757804,-0.0880185
-13.144487,2.7767107
-7.479942,7.730487
-11.901338,1.2536398
-6.9466205,-2.1073036
-5.3343153,1.1601498
-8.6918545,-4.3724556
-7.6024694,3.8213873
-6.7385683,-2.9629946
-5.212454,7.751774
-7.369544,6.474396
-3.4121256,12.220405
-9.313275,0.67018265
-8.432487,6.1153774
-10.062362,-0.76615566
-8.844919,3.777568
-8.586889,-2.4522202
-7.9335327,7.026124
-3.7174494,8.721782
-9.165114,-1.9919779
-8.303535,2.6101785
-10.38109,-2.6007435
-14.035529,1.8636866
-10.286038,3.3827136
-16.184664,-3.1252882
-15.477714,-3.2511706
-16.398804,1.1207083
-16.866299,-1.22586
-20.270876,-3.6926413
-19.10042,-1.6092415
-16.365393,-1.5657437
-17.18371,-3.3625937
-15.473772,0.9956735
-16.741676,-3.988177
-15.942318,-5.878951
-18.692625,-2.4594922
-12.550255,-2.7452047
-16.159275,-4.3740187
-14.812038,-1.8705297
-20.092167,-4.565778
-19.30368,-5.0844975
-16.3767,-5.7669005
-18.720469,-4.035615
-19.608992,-4.360539
-15.79542,0.27221605
-20.004248,-5.3764653
-18.845327,-3.2766938
-15.604211,-1.1803937
-16.708324,-5.0164485
-16.846249,-1.9883971
-15.611887,-2.1321237
-17.771292,-2.6896503
-16.304445,-2.6967347
-19.937658,-3.3368018
-17.620192,-5.5750065
-20.825165,-4.3083
-14.737639,-2.3389006
-14.890862,0.5086996
-13.630097,-2.0210028
14.37507,-5.453539
9.746049,-6.7319794
13.909729,-9.11694
14.7453985,-5.8888917
13.87861,-10.733095
18.206,-8.722781
11.144001,-4.212419
13.298526,-6.5729356
12.713758,-5.199037
13.091494,-5.49155
9.711047,-6.417063
2.704341,-1.4017367
4.8315783,-2.502309
10.305793,-9.400498
9.090758,-1.0772009
15.139576,-2.4542584
14.979452,-2.7493787
10.99725,-9.051437
16.426317,-5.972157
15.457686,-5.73077
8.809773,-3.363484
18.26436,-0.2751761
16.33711,-4.2711987
15.006862,-1.3043827
12.142356,-5.1712713
10.685975,-6.4340467
17.210459,-2.6637554
9.945762,-3.3551846
5.1618466,-2.4224634
5.278671,-7.658881
14.372012,-9.55052
17.627264,-7.752634
14.891941,-6.6587687
13.378806,-7.7631536
17.717417,-1.7891295
